cuit,razon_social,fecha_hora_contrato_social,tipo_societario,fecha_hora_actualizacion,numero_inscripcion,dom_fiscal_provincia,dom_fiscal_localidad,dom_fiscal_calle,dom_fiscal_numero,dom_fiscal_piso,dom_fiscal_departamento,dom_fiscal_cp,dom_fiscal_estado_domicilio,dom_legal_provincia,dom_legal_localidad,dom_legal_calle,dom_legal_numero,dom_legal_piso,dom_legal_departamento,dom_legal_cp,dom_legal_estado_domicilio
34531338652,UNION DE TRABAJADORES DEL TURISMO HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA ARGENTINA UTHGRA,1963-10-10-00:00,ASOCIACION CIVIL,2021-01-31-01:12,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,930,,, 1084,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE MAYO AV.,930,,, 1084,DECLARADO
34531478063,INSTITUTO PALOTINO,1938-04-27-12:00,ASOCIACION CIVIL,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ESTOMBA,1942,,, 1430,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ESTOMBA,1942,,, 1430,NO CONFIRMADO
34531734493,TITULOS VALORES S A  SOCIEDAD DE BOLSA,1990-12-21-00:00,SOCIEDAD ANONIMA,2021-05-03-10:24,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AV.,457,11,, 1043,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CORRIENTES AVDA.,457,11,, 1043,NO CONFIRMADO
34533492268,LA CASA DEL PANTALON S R L,1986-11-25-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,MENDOZA,MENDOZA CIUDAD,SAN LUIS,101,,, 5500,NO CONFIRMADO,MENDOZA,CAPITAL,SAN LUIS,101,,, 5500,NO CONFIRMADO
34533531069,JOSEFA YUNES E HIJOS S A,1981-11-02-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,CHACO,RESISTENCIA,AV ALBERDI,118,,, 3500,NO CONFIRMADO,CHACO,RESISTENCIA,AV ALBERDI,118,,, 3500,NO CONFIRMADO
34533771795,ASOCIACION DE TRABAJADORES DE LA INDUSTRIA LECHERA DE LA REPUBLICA ARGENTINA,1901-01-01-10:43,ASOCIACION CIVIL,2019-02-12-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YRIGOYEN HIPOLITO,4056,,, 1208,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,YRIGOYEN HIPOLITO,4056,,, 1208,DECLARADO POR INTERNET
34533837583,FRANCISCO PECCI E HIJOS S R L,1958-01-01-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SANTA FE,ROSARIO NORTE,WILDE Y MENDOZA,0,,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,WILDE Y MENDOZA,0,,, 2000,NO CONFIRMADO
34533841262,PIOVANO VIDRIOS S A,1988-04-29-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,CORDOBA,RIO CUARTO,AVDA SABATTINI,2922,,, 5800,INEXISTENTE - DESCONOCIDO,CORDOBA,RIO CUARTO,AVDA SABATTINI,2922,,, 5800,NO CONFIRMADO
34534545950,SINDICATO UNIDO PETROLEROS E HIDROCARBURIFEROS FILIAL CAPITAL FEDERAL (S.U.P. E H.),1947-09-22-00:00,ASOCIACION CIVIL,2021-05-03-11:34,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,CASEROS AV.,554,,, 1152,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,AV CASEROS,554,,, 1152,NO CONFIRMADO
34534556421,LA CORONADA SRL,1988-08-19-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-22-17:34,,BUENOS AIRES,LANUS,consejal h noya,3556,,, 1824,CONFIRMADO,BUENOS AIRES,lanus,cosejal h noya,3556,,, 1824,CONFIRMADO
34534652234,CERESITA SACI E I,1953-11-30-12:00,SOCIEDAD ANONIMA,,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DEFENSA,1220,,, 1143,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DEFENSA,1220,,, 1143,NO CONFIRMADO
34535079783,CASA OLGA S R L,1901-01-01-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-26-12:54,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,REPUBL. DE LA INDIA,3025,5,B, 1425,DECLARADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,PASTEUR,226,,, 1028,DECLARADO
34535636682,CONSIGNATARIOS DAMIANI Y PUJOL S R L,1990-11-12-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,SANTA FE,ROSARIO NORTE,SANTA FE,849,02,, 2000,NO CONFIRMADO,SANTA FE,ROSARIO,SANTA FE,849,02,, 2000,NO CONFIRMADO
34535746933,CONSORCIO AVDA COLON 2651,1953-02-01-00:00,ASOCIACION CIVIL,2019-07-24-05:44,,BUENOS AIRES,MAR DEL PLATA NORTE,COLON,2651,,, 7600,NO CONFIRMADO,BUENOS AIRES,MAR DEL PLATA,COLON,2651,,, 7600,NO CONFIRMADO
34536425928,ESTIRPE S A C I,1959-02-24-00:00,SOCIEDAD ANONIMA,2018-11-13-14:54,,BUENOS AIRES,L DEL MIRADOR,PRINGLES,3531,PB,, 1752,NO CONFIRMADO,BUENOS AIRES,L DEL MIRADOR,PRINGLES,3531,PB,, 1752,NO CONFIRMADO
34537379512,INSTITUTO MARIANO MORENO,1959-11-03-12:00,ASOCIACION CIVIL,2021-03-03-04:04,,ENTRE RIOS,HASEMKAMP,25 DE MAYO,0,,, 3134,NO CONFIRMADO,ENTRE RIOS,HASENKAMP,25 DE MAYO,0,,, 3134,NO CONFIRMADO
34537436397,LA VELOZ AUTOMOTORES S A,1901-01-01-12:00,SOCIEDAD ANONIMA,2018-11-13-12:06,,SALTA,SALTA,BALCARCE,270,,, 4400,NO CONFIRMADO,SALTA,SALTA,BALCARCE,270,,, 4400,NO CONFIRMADO
34537772907,INSTITUTO FRAY MAMERTO ESQUIU,1961-12-09-00:00,ASOCIACION CIVIL,2020-11-01-09:26,,BUENOS AIRES,CITY BELL,PELLEGRINI ESQ 3,0,,, 1896,CONFIRMADO,BUENOS AIRES,CITY BELL,PELLEGRINI ESQ 3,0,,, 1896,NO CONFIRMADO
34537980429,LARK S R L,1986-11-01-12:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,BUENOS AIRES,BAHIA BLANCA,CHICLANA,120,,, 8000,NO CONFIRMADO,BUENOS AIRES,BAHIA BLANCA,CHICLANA,120,,, 8000,NO CONFIRMADO
34538175120,CIRCULO ARGENTINO DE ODONTOLOGIA,1935-11-08-00:00,ASOCIACION CIVIL,2021-01-31-01:12,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ACEVEDO EDUARDO,54,,, 1405,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ACEVEDO EDUARDO,54,,, 1405,DECLARADO POR INTERNET
34538288138,SAN NICOLAS AUTOMOTORES S A,1961-07-01-00:00,SOCIEDAD ANONIMA,2018-11-13-16:28,,BUENOS AIRES,SAN NICOLAS,MORENO,18,,, 2900,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,SAN NICOLAS,MORENO,18,,, 2900,NO CONFIRMADO
34538936318,COLAME HNOS S.R.L.,1975-04-09-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2021-04-23-14:34,,BUENOS AIRES,BARADERO,SAN MARTIN,1274,,, 2942,DECLARADO POR INTERNET,BUENOS AIRES,BARADERO,SAN MARTIN,1274,,, 2942,NO CONFIRMADO
34538950337,NEUQUEN REFRESCOS S A C I F E,1965-12-17-00:00,SOCIEDAD ANONIMA,2020-10-30-18:12,,NEUQUEN,NEUQUEN,RUTA 22 Y MOQUEHUE,1251,,, 8300,NO CONFIRMADO,NEUQUEN,NEUQUEN,RUTA 22 Y MOQUEHUE,1251,,, 8300,NO CONFIRMADO
34539208545,AUTOMAR SACIFIA,1964-08-03-00:00,SOCIEDAD ANONIMA,2018-11-13-17:49,,BUENOS AIRES,CORONEL VIDAL,RUTA 2 KM 340,0,,, 7174,INEXISTENTE - DESCONOCIDO,BUENOS AIRES,CORONEL VIDAL,RUTA 2 KM 340,0,,, 7174,NO CONFIRMADO
34539344066,VAQUERO Y CIA S A,1964-10-29-00:00,SOCIEDAD ANONIMA,2021-02-19-09:42,,CORDOBA,RIO CUARTO,MITRE,796,,, 5800,DECLARADO,CORDOBA,RIO CUARTO,COLON,132,,, 5800,CONFIRMADO
34539639562,PALACE HOTEL RONDEAU S C A,1964-08-10-00:00,SOCIEDAD EN COMANDITA POR ACCIONES,2021-06-01-14:25,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ENTRE RIOS AV.,2100,,, 1134,CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,ENTRE RIOS AV.,2100,,, 1134,DECLARADO POR INTERNET
34540375315,ASOCIACION ITALIANA DE SOCORROS MUTUOS DE LABORDE,1907-03-18-10:43,ASOCIACION CIVIL,2021-05-03-11:39,,CORDOBA,LABORDE,SARMIENTO Y LAVALLE,0,,, 2657,CONFIRMADO,CORDOBA,LABORDE,SARMIENTO Y LAVALLE,0,,, 2657,DECLARADO POR INTERNET
34540930475,CIMPAR S A,1962-06-05-00:00,SOCIEDAD ANONIMA,2021-04-26-12:48,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOLIVAR,382,,007, 1066,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOLIVAR,382,,007, 1066,NO CONFIRMADO
34541165195,CIA COMERCIAL DE TRANSPORTES COLECTIVOS,1964-11-30-00:00,SOCIEDAD ANONIMA,2021-04-26-12:48,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VENEZUELA,661,,, 1095,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,VENEZUELA,661,,, 1095,NO CONFIRMADO
34541191676,NATIVA SOCIEDAD ANONIMA,1992-06-05-00:00,SOCIEDAD ANONIMA,2021-01-23-06:29,,SANTA CRUZ,RIO GALLEGOS,MAGALLANES,296,,, 9400,DECLARADO POR INTERNET,SANTA CRUZ,RIO GALLEGOS,SARMIENTO,165,,, 9400,NO CONFIRMADO
34541802047,COPETIN AL PASO EL ALERO SOCIEDAD RESPONSABILIDAD LIMITADA,1979-07-10-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-12:55,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE L.INMIGRANTES AV.,2202,,, 1104,NO NOTIFICADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,DE L.INMIGRANTES AV.,2202,,, 1104,NO CONFIRMADO
34541858417,CALEUFU  S A,1982-07-27-00:00,SOCIEDAD ANONIMA,2021-06-01-19:12,,NEUQUEN,SAN MARTIN DE LOS ANDES,TTE GRAL ROCA,836,,, 8370,DECLARADO,NEUQUEN,SAN MARTIN DE LOS ANDES,TTE GRAL ROCA,836,,, 8370,DECLARADO
34542078776,CLUB AGRICULTURA,1939-10-28-00:00,ASOCIACION CIVIL,2021-05-03-10:46,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOLIVAR,938,,, 1066,NO CONFIRMADO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,BOLIVAR,938,,, 1066,NO CONFIRMADO
34542416442,HELADOS MAR DEL PLATA S A I C,1969-12-01-12:00,SOCIEDAD ANONIMA,2020-07-22-10:40,,BUENOS AIRES,MAR DEL PLATA NORTE,SAN LUIS,1855,1,3, 7600,DECLARADO,BUENOS AIRES,MAR DEL PLATA SUR,YRIGOYEN H,3064,,, 7600,DECLARADO
34543236839,CENTRO EMPLEADOS DE COMERCIO DE GENERAL SAN MARTIN PROVINCIA DE MENDOZA,1982-05-03-00:00,ASOCIACION CIVIL,2021-05-03-09:52,,MENDOZA,GENERAL SAN MARTIN,BELGRANO,331,,, 5570,NO CONFIRMADO,MENDOZA,SAN MARTIN,BELGRANO,331,,, 5570,NO CONFIRMADO
34543870945,EL HOGAR SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL,1966-03-23-00:00,SOCIEDAD ANONIMA,2018-11-13-13:13,,BUENOS AIRES,FLORIDA,GENERAL ROCA,2140,,, 1602,NO CONFIRMADO,BUENOS AIRES,FLORIDA,GENERAL ROCA,2140,,, 1602,NO CONFIRMADO
34544071787,HORIZONTE S A C I F I,1962-10-23-00:00,SOCIEDAD ANONIMA,2021-06-02-10:26,,BUENOS AIRES,SAN NICOLAS,1RO DE MAYO,34,BIS,, 2900,DECLARADO POR INTERNET,BUENOS AIRES,SAN NICOLAS,1RO DE MAYO,34,,, 2900,NO CONFIRMADO
34544236662,SINDICATO UNIDO TRABAJADORES DE LA INDUSTRIA DE AGUAS GASEOSAS DE LA CIUDAD DE S,1957-05-15-12:00,ASOCIACION CIVIL,2021-05-03-11:14,,BUENOS AIRES,SAN MARTIN,MORENO,4195,,, 1650,CONFIRMADO,BUENOS AIRES,SAN MARTIN,MORENO,4195,,, 1650,DECLARADO POR INTERNET
34544356706,CARPINACCI HNOS S A,1984-03-02-00:00,SOCIEDAD ANONIMA,,,BUENOS AIRES,TEMPERLEY,ALTE BROWN,3892,,, 1834,NO CONFIRMADO,BUENOS AIRES,TEMPERLEY,ALTE BROWN,3892,,, 1834,NO CONFIRMADO
34544854536,APOLLONIO JOSE REINALDO Y CIA SRL,1988-07-22-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2018-11-13-13:13,,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RAMOS MEJIA J  J  DR,1430,,, 1104,INEXISTENTE - DESCONOCIDO,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,RAMOS MEJIA J  J  DR,1430,,, 1104,NO CONFIRMADO
34545580502,ANISH S R L,1988-08-19-00:00,SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,CORDOBA,CORDOBA,SAN MARTIN,81,PB,, 5000,NO CONFIRMADO,CORDOBA,CORDOBA,SAN MARTIN,81,PB,, 5000,NO CONFIRMADO
34545756643,COOP DE AGUA POT VIVIENDA Y OTROS SERVI CIOS PUBLICOS DE MALABRIGO LTDA,1985-07-07-00:00,COOPERATIVA,2021-05-04-14:31,,SANTA FE,MALABRIGO,CORDOBA,966,,, 3572,DECLARADO,SANTA FE,MALABRIGO,CORDOBA,966,,, 3572,NO CONFIRMADO
34545886717,SOCIEDAD DE BENEFICENCIA HOSPITAL ITALIANO GARIBALDI ASOCIACION CIVIL,1992-03-20-00:00,ASOCIACION CIVIL,2021-01-23-06:29,,SANTA FE,ROSARIO SUD,VIRASORO,1249,,, 2000,DECLARADO,SANTA FE,ROSARIO,VIRASORO,1249,,, 2000,NO CONFIRMADO
34545935238,SINDICATO   TRABAJADORES    LUZ  Y   FUERZA    AZUL,1947-08-01-00:00,ASOCIACION CIVIL,2020-05-09-23:40,,BUENOS AIRES,AZUL,BELGRANO,536,,, 7300,CONFIRMADO,BUENOS AIRES,AZUL,BELGRANO,536,,, 7300,CONFIRMADO
