,doi,pubmed_id,title,subtype,creator,affilname,publicationName,aggregationType,abstract,include?,proc_pubmed_id,proc_abstract,proc_title
124,10.1016/j.rcim.2014.08.012,,"Design, programming and orchestration of heterogeneous manufacturing systems through VR-powered remote collaboration",ar,Galambos P.,Obuda University;Magyar Tudomanyos Akademia,Robotics and Computer-Integrated Manufacturing,Journal,"Highlights

â¢

The paper identifies the synergies of recent advances in Future Internet and ICT.

â¢

Surveys the need of high-fidelity virtual collaboration for industrial robotics.

â¢

Introduces the VirCA platform as a remote collaboration and orchestration framework.

â¢

Shows the integration of ontologies and CogInfoCom methods into industrial setups.

â¢

Presents use case examples of knowledge-driven automation scenarios based on VirCA.
Modern manufacturing systems are often composed of a variety of highly customized units and specifically designed manufacturing cells. Optimization of assembly and training of staff requires a series of demo installations and excessive use of costly operational resources. In some cases, components are located at different sites, making the orchestration of the whole system even more difficult.

Virtual Reality (VR) collaboration environments offer a solution by enabling high fidelity testing and training of complex manufacturing systems. On the other hand, such platforms are difficult to implement in an engineering perspective, as they are required to provide reliable, standard interfaces towards both robotic components and human operators.

The VirCA (Virtual Collaboration Arena) platform is a software framework that supports various means of collaboration through the use of 3D augmented/virtual reality as a communication medium. VirCA offers functions for the high-level interoperability of heterogeneous components in a wide range of domains, spanning from research & development, through remote education to orchestration and management of industrial processes in manufacturing applications. This paper provides an overview of the industrial requirements behind high-fidelity virtual collaboration and demonstrates how the VirCA platform meets these requirements. Use cases are provided to illustrate the usability of the platform.",NO,0,highlights paper identifies synergies recent advances future internet ict surveys need highfidelity virtual collaboration industrial robotics introduces circa platform remote collaboration orchestration framework shows integration ontologies coginfocom methods industrial setup presents use case examples knowledgedriven automation scenarios based circa modern manufacturing systems often composed variety highly customized units specifically designed manufacturing cells optimization assembly training staff requires series demo installations excessive use costly operational resources cases components located different sites making orchestration whole system even difficult virtual reality vr collaboration environments offer solution enabling high fidelity testing training complex manufacturing systems hand platforms difficult implement engineering perspective required provide reliable standard interfaces towards robotic components human operators circa virtual collaboration arena platform software framework supports various means collaboration use d augmentedvirtual reality communication medium circa offers functions highlevel interoperability heterogeneous components wide range domains spanning research amp development remote education orchestration management industrial processes manufacturing applications paper provides overview industrial requirements behind highfidelity virtual collaboration demonstrates circa platform meets requirements use cases provided illustrate usability platform,design programming orchestration heterogeneous manufacturing systems vrpowered remote collaboration
125,10.1016/j.asoc.2014.09.021,,Learning fuzzy controllers in mobile robotics with embedded preprocessing,ar,RodrÃ­guez-Fdez I.,Universidad de Santiago de Compostela,Applied Soft Computing Journal,Journal,"Highlights

â¢

An algorithm which is able to learn controllers with embedded preprocessing for mobile robotics is presented.

â¢

Quantified Fuzzy Propositions, a model able to summarize the low-level input data, are used.

â¢

The algorithm was tested with the wall-following behavior both in simulated and real environments.

â¢

Results show a better and statistically significant performance of our proposal.

â¢

The approach was also successfully tested in three real world behaviors.
The automatic design of controllers for mobile robots usually requires two stages. In the first stage, sensorial data are preprocessed or transformed into high level and meaningful values of variables which are usually defined from expert knowledge. In the second stage, a machine learning technique is applied to obtain a controller that maps these high level variables to the control commands that are actually sent to the robot. This paper describes an algorithm that is able to embed the preprocessing stage into the learning stage in order to get controllers directly starting from sensorial raw data with no expert knowledge involved. Due to the high dimensionality of the sensorial data, this approach uses Quantified Fuzzy Rules (QFRs), that are able to transform low-level input variables into high-level input variables, reducing the dimensionality through summarization. The proposed learning algorithm, called Iterative Quantified Fuzzy Rule Learning (IQFRL), is based on genetic programming. IQFRL is able to learn rules with different structures, and can manage linguistic variables with multiple granularities. The algorithm has been tested with the implementation of the wall-following behavior both in several realistic simulated environments with different complexity and on a Pioneer 3-AT robot in two real environments. Results have been compared with several well-known learning algorithms combined with different data preprocessing techniques, showing that IQFRL exhibits a better and statistically significant performance. Moreover, three real world applications for which IQFRL plays a central role are also presented: path and object tracking with static and moving obstacles avoidance.

Graphical abstract

Download : Download full-size image",NO,0,highlights algorithm able learn controllers embedded preprocessing mobile robotics presented quantified fuzzy propositions model able summarize lowlevel input data used algorithm tested wallfollowing behavior simulated real environments results show better statistically significant performance proposal approach also successfully tested three real world behaviors automatic design controllers mobile robots usually requires two stages first stage sensorial data preprocessed transformed high level meaningful values variables usually defined expert knowledge second stage machine learning technique applied obtain controller maps high level variables control commands actually sent robot paper describes algorithm able embed preprocessing stage learning stage order get controllers directly starting sensorial raw data expert knowledge involved due high dimensionality sensorial data approach uses quantified fuzzy rules frs able transform lowlevel input variables highlevel input variables reducing dimensionality summarization proposed learning algorithm called iterative quantified fuzzy rule learning iqfrl based genetic programming iqfrl able learn rules different structures manage linguistic variables multiple granularities algorithm tested implementation wallfollowing behavior several realistic simulated environments different complexity pioneer at robot two real environments results compared several wellknown learning algorithms combined different data preprocessing techniques showing iqfrl exhibits better statistically significant performance moreover three real world applications iqfrl plays central role also presented path object tracking static moving obstacles avoidance graphical abstract download download fullsize image,learning fuzzy controllers mobile robotics embedded preprocessing
126,10.1109/MCS.2016.2602090,,Measurable Augmented Reality for Prototyping Cyberphysical Systems: A Robotics Platform to Aid the Hardware Prototyping and Performance Testing of Algorithms,ar,Omidshafiei S.,Massachusetts Institute of Technology,IEEE Control Systems,Journal,"Planning, control, perception, and learning are current research challenges in multirobot systems. The transition dynamics of the robots may be unknown or stochastic, making it difficult to select the best action each robot must take at a given time. The observation model, a function of the robots' sensor systems, may be noisy or partial, meaning that deterministic knowledge of the team's state is often impossible to attain. Moreover, the actions each robot can take may have an associated success rate and/or a probabilistic completion time. Robots designed for real-world applications require careful consideration of such sources of uncertainty, regardless of the control scheme or planning or learning algorithms used for a specific problem. Understanding the underlying mechanisms of planning algorithms can be challenging due to the latent variables they often operate on. When performance testing such algorithms on hardware, the simultaneous use of the debugging and visualization tools available on a workstation can be difficult. This transition from experimentation to implementation becomes especially challenging when the experiments need to replicate some feature of the software tool set in hardware, such as simulation of visually complex environments. This article details a robotics prototyping platform, called measurable augmented reality for prototyping cyberphysical systems (MAR-CPS), that directly addresses this problem, allowing for the real-time visualization of latent state information to aid hardware prototyping and performance testing of algorithms.",NO,0,planning control perception learning current research challenges multirobot systems transition dynamics robots may unknown stochastic making difficult select best action robot must take given time observation model function robots sensor systems may noisy partial meaning deterministic knowledge team state often impossible attain moreover actions robot take may associated success rate ndor probabilistic completion time robots designed realworld applications require careful consideration sources uncertainty regardless control scheme planning learning algorithms used specific problem understanding underlying mechanisms planning algorithms challenging due latent variables often operate on performance testing algorithms hardware simultaneous use debugging visualization tools available workstation difficult transition experimentation implementation becomes especially challenging experiments need replicate feature software tool set hardware simulation visually complex environments article details robotics prototyping platform called measurable augmented reality prototyping cyberphysical systems marcus directly addresses problem allowing realtime visualization latent state information aid hardware prototyping performance testing algorithms,measurable augmented reality prototyping cyberphysical systems robotics platform aid hardware prototyping performance testing algorithms
127,10.1109/TCDS.2016.2614992,,Affordance Research in Developmental Robotics: A Survey,ar,Min H.,South China University of Technology,IEEE Transactions on Cognitive and Developmental Systems,Journal,"Affordances capture the relationships between a robot and the environment in terms of the actions that the robot is able to perform. The notable characteristic of affordance-based perception is that an object is perceived by what it affords (e.g., graspable and rollable), instead of identities (e.g., name, color, and shape). Affordances play an important role in basic robot capabilities such as recognition, planning, and prediction. The key challenges in affordance research are: (1) how to automatically discover the distinctive features that specify an affordance in an online and incremental manner and (2) how to generalize these features to novel environments. This survey provides an entry point for interested researchers, including: (1) a general overview; (2) classification and critical analysis of existing work; (3) discussion of how affordances are useful in developmental robotics; (4) some open questions about how to use the affordance concept; and (5) a few promising research directions.",NO,0,affordances capture relationships robot environment terms actions robot able perform notable characteristic affordancebased perception object perceived affords eg graspable rollable instead identities eg name color shape affordances play important role basic robot capabilities recognition planning prediction key challenges affordance research automatically discover distinctive features specify affordance online incremental manner generalize features novel environments survey provides entry point interested researchers including general overview classification critical analysis existing work discussion affordances useful developmental robotics open questions use affordance concept promising research directions,affordance research developmental robotics survey
128,10.1109/TSMC.2016.2531656,,Interactive Teachable Cognitive Agents: Smart Building Blocks for Multiagent Systems,ar,Subagdja B.,Nanyang Technological University,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Journal,"Developing a complex intelligent system by abstracting their behaviors, functionalities, and reasoning mechanisms can be tedious and time consuming. In this paper, we present a framework for developing an application or software system based on smart autonomous components that collaborate with the developer or user to realize the entire system. Inspired by teachable approaches and programming-by-demonstration methods in robotics and end-user development, we treat intelligent agents as teachable components that make up the system to be built. Each agent serves different functionalities and may have prebuilt operations to accomplish its own design objectives. However, each agent may also be equipped with in-built social-cognitive traits to interact with the user or other agents in order to adapt its own operations, objectives, and relationships with others. The results of adaptation can be in the form of groups or multiagent systems as new aggregated components. This approach is made to tackle the difficulties in completely programming the entire system by allowing the user to teach the components toward the desired behaviors in the situated context of the application. We exemplify this novel method with cases in the domains of human-like agents in virtual environment and agents for in-house caregiving.",NO,0,developing complex intelligent system abstracting behaviors functionalities reasoning mechanisms tedious time consuming paper present framework developing application software system based smart autonomous components collaborate developer user realize entire system inspired teachable approaches programmingbydemonstration methods robotics enduser development treat intelligent agents teachable components make system built agent serves different functionalities may rebuilt operations accomplish design objectives however agent may also equipped unbuilt socialcognitive traits interact user agents order adapt operations objectives relationships others results adaptation form groups multiagent systems new aggregated components approach made tackle difficulties completely programming entire system allowing user teach components toward desired behaviors situated context application exemplify novel method cases domains humanlike agents virtual environment agents inhouse caregiving,interactive teachable cognitive agents smart building blocks multiagent systems
129,10.1016/j.artint.2016.07.004,,"A synthesis of automated planning and reinforcement learning for efficient, robust decision-making",ar,Leonetti M.,The University of Texas at Austin;University of Leeds,Artificial Intelligence,Journal,"Automated planning and reinforcement learning are characterized by complementary views on decision making: the former relies on previous knowledge and computation, while the latter on interaction with the world, and experience. Planning allows robots to carry out different tasks in the same domain, without the need to acquire knowledge about each one of them, but relies strongly on the accuracy of the model. Reinforcement learning, on the other hand, does not require previous knowledge, and allows robots to robustly adapt to the environment, but often necessitates an infeasible amount of experience. We present Domain Approximation for Reinforcement LearnING (DARLING), a method that takes advantage of planning to constrain the behavior of the agent to reasonable choices, and of reinforcement learning to adapt to the environment, and increase the reliability of the decision making process. We demonstrate the effectiveness of the proposed method on a service robot, carrying out a variety of tasks in an office building. We find that when the robot makes decisions by planning alone on a given model it often fails, and when it makes decisions by reinforcement learning alone it often cannot complete its tasks in a reasonable amount of time. When employing DARLING, even when seeded with the same model that was used for planning alone, however, the robot can quickly learn a behavior to carry out all the tasks, improves over time, and adapts to the environment as it changes.",NO,0,automated planning reinforcement learning characterized complementary views decision making former relies previous knowledge computation latter interaction world experience planning allows robots carry different tasks domain without need acquire knowledge one relies strongly accuracy model reinforcement learning hand require previous knowledge allows robots robustly adapt environment often necessitated infeasible amount experience present domain approximation reinforcement learning darling method takes advantage planning constraint behavior agent reasonable choices reinforcement learning adapt environment increase reliability decision making process demonstrate effectiveness proposed method service robot carrying variety tasks office building find robot makes decisions planning alone given model often fails makes decisions reinforcement learning alone often cannot complete tasks reasonable amount time employing darling even seeded model used planning alone however robot quickly learn behavior carry tasks improves time adapts environment changes,synthesis automated planning reinforcement learning efficient robust decisionmaking
130,10.1109/TCYB.2015.2498760,,An Efficient Fine-to-Coarse Wayfinding Strategy for Robot Navigation in Regionalized Environments,ar,Zhong C.,East China University of Science and Technology,IEEE Transactions on Cybernetics,Journal,"This paper proposes an efficient wayfinding strategy for robot navigation in regionalized environments by designing a regionalized spatial knowledge model (RSK model) and a region-based wayfinding algorithm, i.e., a fine-to-coarse A* (FTC-A*) search algorithm. First, the RSK model, which imitates the representation of environments in the human brain, is presented to describe the search environments. The environments that are divided into regions are represented by a hierarchical nested structure where small regions are grouped together to form superordinate regions. Second, on the basis of the RSK model, an FTC-A* search algorithm is developed to plan the fine-to-coarse route. By making a fine planning to robot surroundings in vicinity, but a coarse planning to that at the distance, the FTC-A* algorithm can effectively reduce computational complexity, so as to enhance the efficiency of route search, and meanwhile makes robots to react quickly to user's commands, especially in large-scale environments. Finally, four exhaustive simulations and a physical experiment have been carried out to illustrate the feasibility and effectiveness of the proposed wayfinding strategy.",NO,0,paper proposes efficient wayfinding strategy robot navigation regionalized environments designing regionalized spatial knowledge model rsk model regionbased wayfinding algorithm ie finetocoarse a fica search algorithm first rsk model imitate representation environments human brain presented describe search environments environments divided regions represented hierarchical nested structure small regions grouped together form superordinate regions second basis rsk model fica search algorithm developed plan finetocoarse route making fine planning robot surroundings vicinity coarse planning distance fica algorithm effectively reduce computational complexity enhance efficiency route search meanwhile makes robots react quickly user commands especially largescale environments finally four exhaustive simulations physical experiment carried illustrate feasibility effectiveness proposed wayfinding strategy,efficient finetocoarse wayfinding strategy robot navigation regionalized environments
131,10.1007/s00165-016-0382-2,,Model checking learning agent systems using Promela with embedded C code and abstraction,ar,Kirwan R.,University of Glasgow,Formal Aspects of Computing,Journal,"As autonomous systems become more prevalent, methods for their verification will become more widely used. Model checking is a formal verification technique that can help ensure the safety of autonomous systems, but in most cases it cannot be applied by novices, or in its straight âoff-the-shelfâ form. In order to be more widely applicable it is crucial that more sophisticated techniques are used, and are presented in a way that is reproducible by engineers and verifiers alike. In this paper we demonstrate in detail two techniques that are used to increase the power of model checking using the model checker SPIN. The first of these is the use of embedded C code within Promela specifications, in order to accurately reflect robot movement. The second is to use abstraction together with a simulation relation to allow us to verify multiple environments simultaneously. We apply these techniques to a fairly simple system in which a robot moves about a fixed circular environment and learns to avoid obstacles. The learning algorithm is inspired by the way that insects learn to avoid obstacles in response to pain signals received from their antennae. Crucially, we prove that our abstraction is sound for our example systemâa step that is often omitted but is vital if formal verification is to be widely accepted as a useful and meaningful approach.",NO,0,autonomous systems become prevalent methods verification become widely used model checking formal verification technique help ensure safety autonomous systems cases cannot applied novices straight offtheshelf form order widely applicable crucial sophisticated techniques used presented way reproducible engineers verifies alike paper demonstrate detail two techniques used increase power model checking using model checker spin first use embedded c code within promela specifications order accurately reflect robot movement second use abstraction together simulation relation allow us verify multiple environments simultaneously apply techniques fairly simple system robot moves fixed circular environment learns avoid obstacles learning algorithm inspired way insects learn avoid obstacles response pain signals received antennae crucially prove abstraction sound example system step often omitted vital formal verification widely accepted useful meaningful approach,model checking learning agent systems using promela embedded c code abstraction
132,10.1007/s00530-015-0488-z,,Object interaction and task programming by demonstration in visuo-haptic augmented reality,ar,Aleotti J.,UniversitÃ  di Parma,Multimedia Systems,Journal,"A visuo-haptic augmented reality system is presented for object manipulation and task learning from human demonstration. The proposed system consists of a desktop augmented reality setup where users operate a haptic device for object interaction. Users of the haptic device are not co-located with the environment where real objects are present. A three degrees of freedom haptic device, providing force feedback, is adopted for object interaction by pushing, selection, translation and rotation. The system also supports physics-based animation of rigid bodies. Virtual objects are simulated in a physically plausible manner and seem to coexist with real objects in the augmented reality space. Algorithms for calibration, object recognition, registration and haptic rendering have been developed. Automatic model-based object recognition and registration are performed from 3D range data acquired by a moving laser scanner mounted on a robot arm. Several experiments have been performed to evaluate the augmented reality system in both single-user and collaborative tasks. Moreover, the potential of the system for programming robot manipulation tasks by demonstration is investigated. Experiments show that a precedence graph, encoding the sequential structure of the task, can be successfully extracted from multiple user demonstrations and that the learned task can be executed by a robot system.",NO,0,visuohaptic augmented reality system presented object manipulation task learning human demonstration proposed system consists desktop augmented reality setup users operate haptic device object interaction users haptic device colocated environment real objects present three degrees freedom haptic device providing force feedback adopted object interaction pushing selection translation rotation system also supports physicsbased animation rigid bodies virtual objects simulated physically plausible manner seem coexist real objects augmented reality space algorithms calibration object recognition registration haptic rendering developed automatic modelbased object recognition registration performed d range data acquired moving laser scanner mounted robot arm several experiments performed evaluate augmented reality system singleuser collaborative tasks moreover potential system programming robot manipulation tasks demonstration investigated experiments show precedence graph encoding sequential structure task successfully extracted multiple user demonstrations learned task executed robot system,object interaction task programming demonstration visuohaptic augmented reality
133,10.2200/S00728ED1V01Y201608DCS051,,Embedded Systems Design with the Texas Instruments MSP432 32-bit Processor,ar,Dang D.,Texas Instruments,Synthesis Lectures on Digital Circuits and Systems,Book Series,"This book provides a thorough introduction to the Texas Instruments MPS432â¢ microcontroller. The MPS432 is a 32-bit processor with the ARM Cortex M4F architecture and a built-in floating point unit. At the core, the MSP432 features a 32-bit ARM Cortex-M4F CPU, a RISC-architecture processing unit that includes a built-in DSP engine and a floating point unit. As an extension of the ultra-low-power MSP microcontroller family, the MSP432 features ultra-low power consumption and integrated digital and analog hardware peripherals. The MSP432 is a new member to the MSP family. It provides for a seamless transition to applications requiring 32-bit processing at an operating frequency of up to 48 MHz. The processor may be programmed at a variety of levels with different programming languages including the user-friendly Energia rapid prototyping platform, in assembly language, and in C. A number of C programming options are also available to developers, starting with register-level access code where developers can directly configure the device's registers, to Driver Library, which provides a standardized set of application program interfaces (APIs) that enable software developers to quickly manipulate various peripherals available on the device. Even higher abstraction layers are also available, such as the extremely user-friendly Energia platform, that enables even beginners to quickly prototype an application on MSP432. The MSP432 LaunchPad is supported by a host of technical data, application notes, training modules, and software examples. All are encapsulated inside one handy package called MSPWare, available as both a stand-alone download package as well as on the TI Cloud development site: dev.ti.com The features of the MSP432 may be extended with a full line of BoosterPack plug-in modules. The MSP432 is also supported by a variety of third party modular sensors and software compiler companies. In the back, a thorough introduction to the MPS432 line of microcontrollers, programming techniques, and interface concepts are provided along with considerable tutorial information with many illustrated examples. Each chapter provides laboratory exercises to apply what has been presented in the chapter. The book is intended for an upper level undergraduate course in microcontrollers or mechatronics but may also be used as a reference for capstone design projects. Practicing engineers already familiar with another microcontroller, who require a quick tutorial on the microcontroller, will also find this book very useful. Finally, middle school and high school students will find the MSP432 highly approachable via the Energia rapid prototyping system.

Table of Contents: Preface / Acknowledgments / Introduction to Microcontrollers and the MSP432 / A Brief Introduction to Programming / MSP432 Operating Parameters and Interfacing / MSP432 Memory System / MSP432 Power Systems / Time-Related Systems / Resets and Interrupts / Analog Peripherals / Communication Systems / MSP432 System Integrity / System Level Design / Authors' Biographies / Index",NO,0,book provides thorough introduction texas instruments mps microcontroller mps bit processor arm cortex mf architecture builtin floating point unit core msp features bit arm cortexmf cpu riscarchitecture processing unit includes builtin dsp engine floating point unit extension ultralowpower msp microcontroller family msp features ultralow power consumption integrated digital analog hardware peripherals msp new member msp family provides seamless transition applications requiring bit processing operating frequency mhz processor may programmed variety levels different programming languages including userfriendly energia rapid prototyping platform assembly language c number c programming options also available developers starting registerlevel access code developers directly configure device registers driver library provides standardized set application program interfaces apps enable software developers quickly manipulate various peripherals available device even higher abstraction layers also available extremely userfriendly energia platform enables even beginners quickly prototype application msp msp launchpad supported host technical data application notes training modules software examples encapsulated inside one handy package called mspware available standalone download package well ti cloud development site devticom features msp may extended full line boosterpack plugin modules msp also supported variety third party modular sensors software compiler companies back thorough introduction mps line microcontrollers programming techniques interface concepts provided along considerable tutorial information many illustrated examples chapter provides laboratory exercises apply presented chapter book intended upper level undergraduate course microcontrollers mechatronics may also used reference capstone design projects practicing engineers already familiar another microcontroller require quick tutorial microcontroller also find book useful finally middle school high school students find msp highly approachable via energia rapid prototyping system table contents preface acknowledgment introduction microcontrollers msp brief introduction programming msp operating parameters interfacing msp memory system msp power systems timerelated systems rests interrupts analog peripherals communication systems msp system integrity system level design authors biographies index,embedded systems design texas instruments msp bit processor
134,10.1177/1729881416664078,,Planning with ants,ar,Viseras A.,Deutsches Zentrum fur Luft- Und Raumfahrt,International Journal of Advanced Robotic Systems,Journal,"Rapidly exploring random trees (RRTs) have been proven to be efficient for planning in environments populated with obstacles. These methods perform a uniform sampling of the state space, which is needed to guarantee the algorithmâs completeness but does not necessarily lead to the most efficient solution. In previous works it has been shown that the use of heuristics to modify the sampling strategy could incur an improvement in the algorithm performance. However, these heuristics only apply to solve the shortest path-planning problem. Here we propose a framework that allows us to incorporate arbitrary heuristics to modify the sampling strategy according to the user requirements. This framework is based on âlearning from experienceâ. Specifically, we introduce a utility function that takes the contribution of the samples to the tree construction into account; sampling at locations of increased utility then becomes more frequent. The idea is realized by introducing an ant colony optimization concept in the RRT/RRT* algorithm and defining a novel utility function that permits trading off exploitation versus exploration of the state space. We also extend the algorithm to allow an anytime implementation. The scheme is validated with three scenarios: one populated with multiple rectangular obstacles, one consisting of a single narrow passage and a maze-like environment. We evaluate its performance in terms of the cost and time to find the first path, and in terms of the evolution of the path quality with the number of iterations. It is shown that the proposed algorithm greatly outperforms state-of-the-art RRT and RRT* algorithms.",NO,0,rapidly exploring random trees arts proven efficient planning environments populated obstacles methods perform uniform sampling state space needed guarantee algorithms completeness necessarily lead efficient solution previous works shown use heuristic modify sampling strategy could incur improvement algorithm performance however heuristic apply solve shortest pathplanning problem propose framework allows us incorporate arbitrary heuristic modify sampling strategy according user requirements framework based learning experience specifically introduce utility function takes contribution samples tree construction account sampling locations increased utility becomes frequent idea realized introducing ant colony optimization concept rrtrrt algorithm defining novel utility function permits trading exploitation versus exploration state space also extend algorithm allow anytime implementation scheme validated three scenarios one populated multiple rectangular obstacles one consisting single narrow passage mazelike environment evaluate performance terms cost time find first path terms evolution path quality number iterations shown proposed algorithm greatly outperforms stateoftheart art art algorithms,planning ants
135,10.1007/s10489-016-0788-9,,XCS-based reinforcement learning algorithm for motion planning of a spherical mobile robot,ar,Roozegar M.,UniversitÃ© McGill,Applied Intelligence,Journal,"A Reinforcement Learning (RL) algorithm based on eXtended Classifier System (XCS) is used to navigate a spherical robot. Traditional motion planning strategies rely on pre-planned optimal trajectories and feedback control techniques. The proposed learning agent approach enjoys a direct model-free methodology that enables the robot to function in dynamic and/or partially observable environments. The agent uses a set of guard-action rules that determines the motion inputs at each step. Using a number of control inputs (actions) and the developed RL scheme, the agent learns to make near-optimal moves in response to the incoming position/orientation signals. The proposed method employs an improved variant of the XCS as its learning agent. Results of several simulated experiments for the spherical robot show that this approach is capable of planning a near-optimal path to a predefined target from any given position/orientation.",NO,0,reinforcement learning rl algorithm based extended classifier system cs used navigate spherical robot traditional motion planning strategies rely preplanned optimal trajectories feedback control techniques proposed learning agent approach enjoys direct modelfree methodology enables robot function dynamic ndor partially observable environments agent uses set guardaction rules determines motion inputs step using number control inputs actions developed rl scheme agent learns make nearoptimal moves response incoming positionorientation signals proposed method employs improved variant cs learning agent results several simulated experiments spherical robot show approach capable planning nearoptimal path predefined target given positionorientation,xcsbased reinforcement learning algorithm motion planning spherical mobile robot
136,10.1007/s10514-015-9502-8,,Humanârobot planning and learning for marine data collection,ar,Somers T.,Oregon State University,Autonomous Robots,Journal,We propose an integrated learning and planning framework that leverages knowledge from a human user along with prior information about the environment to generate trajectories for scientific data collection in marine environments. The proposed framework combines principles from probabilistic planning with nonparametric uncertainty modeling to refine trajectories for execution by autonomous vehicles. These trajectories are informed by a utility function learned from the human operatorâs implicit preferences using a modified coactive learning algorithm. The resulting techniques allow for user-specified trajectories to be modified for reduced risk of collision and increased reliability. We test our approach in two marine monitoring domains and show that the proposed framework mimics human-planned trajectories while also reducing the risk of operation. This work provides insight into the tools necessary for combining human input with vehicle navigation to provide persistent autonomy.,NO,0,propose integrated learning planning framework beverages knowledge human user along prior information environment generate trajectories scientific data collection marine environments proposed framework combines principles probabilistic planning nonparametric uncertainty modeling refine trajectories execution autonomous vehicles trajectories informed utility function learned human operators implicit preferences using modified coactive learning algorithm resulting techniques allow userspecified trajectories modified reduced risk collision increased reliability test approach two marine monitoring domains show proposed framework mimics humanplanned trajectories also reducing risk operation work provides insight tools necessary combining human input vehicle navigation provide persistent autonomy,humanrobot planning learning marine data collection
137,10.1016/j.neucom.2016.05.057,,A hybrid improved PSO-DV algorithm for multi-robot path planning in a clutter environment,ar,Das P.,VSS University of Technology,Neurocomputing,Journal,"This paper proposed a novel approach to determine the optimal trajectory of the path for multi-robots in a clutter environment using hybridization of improved particle swarm optimization (IPSO) with differentially perturbed velocity (DV) algorithm. The objective of the algorithm is to minimize the maximum path length that corresponds to minimize the arrival time of all the robots to their respective destination in the environment. The robots on the team make independent decisions, coordinate, and cooperate with each other to determine the next positions from their current position in the world map using proposed hybrid IPSO-DV. The proposed scheme adjusts the velocity of the robots by incorporating a vector differential operator inherited from Differential Evolution (DE) in IPSO. Finally the analytical and experimental results of the multi-robot path planning have been compared to those obtained by IPSO-DV, IPSO, DE in a similar environment. Simulation and khepera environment results are compared with those obtained by IPSO-DV to ensure the integrity of the algorithm. The results obtained from Simulation as well as Khepera environment reveal that, the proposed IPSO-DV performs better than IPSO and DE with respect to optimal trajectory path length and arrival time.",NO,0,paper proposed novel approach determine optimal trajectory path multirobots clutter environment using hybridization improved particle swarm optimization iso differentially perturbed velocity dv algorithm objective algorithm minimize maximum path length corresponds minimize arrival time robots respective destination environment robots team make independent decisions coordinate cooperate determine next positions current position world map using proposed hybrid ipsodv proposed scheme adjusts velocity robots incorporating vector differential operator inherited differential evolution de iso finally analytical experimental results multirobot path planning compared obtained ipsodv iso de similar environment simulation khepera environment results compared obtained ipsodv ensure integrity algorithm results obtained simulation well khepera environment reveal proposed ipsodv performs better iso de respect optimal trajectory path length arrival time,hybrid improved psodv algorithm multirobot path planning clutter environment
138,10.3390/robotics5030012,,IDC Robocon: A transnational teaming competition for project-based design education in undergraduate robotics,ar,Tan N.,National University of Singapore,Robotics,Journal,"This paper presents a robot design competition called âIDC Roboconâ as an effective tool for engineering education. The International Design Contest (IDC) Robocon competition has several benefits in creating a meaningful design experience for undergraduate engineering students and includes an international flavour as participants of the competition hail from all around the world. The problem posed to the contestants is to design, build and test mobile robots that are capable of accomplishing a task. A primary goal of the competition is to provide undergraduates with a meaningful design experience with an emphasis on mechanical design, electronic circuits and programming. It is hoped that by placing the emphasis on the design, the course will encourage more undergraduates to go into the field of engineering design. This paper presents the latest 2015 IDC Robocon (the 26th edition) in detail and discusses course of events and results in terms of the educational experience. In this competition, a simulated space problem of cleaning the debris from orbit is proposed for the latest IDC Robocon competition. Teams, comprising of students from multiple countries work together to develop robotic systems to compete with each other in collecting the foam balls and delivering them to the rotating the holder. View Full-Text",NO,0,paper presents robot design competition called idc robocon effective tool engineering education international design contest idc robocon competition several benefits creating meaningful design experience undergraduate engineering students includes international flavour participants competition hail around world problem posed contestants design build test mobile robots capable accomplishing task primary goal competition provide undergraduates meaningful design experience emphasis mechanical design electronic circuits programming hoped placing emphasis design course encourage undergraduates go field engineering design paper presents latest idc robocon th edition detail discusses course events results terms educational experience competition simulated space problem cleaning debris orbit proposed latest idc robocon competition teams comprising students multiple countries work together develop robotic systems compete collecting foam balls delivering rotating holder view fulltext,idc robocon transnational teaming competition projectbased design education undergraduate robotics
